Document Category ,Document Name,Entity ,Document Source
Macroeconomic,uk-economic-outlook.pdf,--,Upload 
Banking Sector ,McKinsey - Wealthtech-asia-pacific-the-next-frontier-in-financial-innovation.pdf,--,Upload 
Banking Sector ,BCG_ Global Wealth 2023-june-2023.pdf,--,Upload 
Company Financial Statements ,SCB Annual Report 2022.pdf,SCB,Upload 
Company Financial Statements ,standard-chartered-plc-3q-2023-results.pdf,SCB,Link
Company Financial Statements ,standard-chartered-plc-HY-2023-report.pdf,SCB,Link
Company Financial Statements ,standard-chartered-plc-1Q-2023-results.pdf,SCB,Link
Compay Market News,SCB-1.txt,SCB,Feed
Compay Market News,SCB-NF -1.txt,SCB,Feed
Compay Market News,SCB-NF -2.txt,SCB,Feed
Company Earning Call Transcripts ,standard-chartered-plc-3q-2023-transcript.pdf,SCB,Link
Company Earning Call Transcripts ,standard-chartered-plc-hy-2023-transcript.pdf,SCB,Link
Company Earning Call Transcripts ,standard-chartered-plc-1q-2023-transcript.pdf,SCB,Link
Company Financial Statements ,230221-annual-report-and-accounts-2022.pdf,HSBC,Upload 
Company Financial Statements ,230502-1q-2023-earnings-release.pdf,HSBC,Link
Company Financial Statements ,230801-interim-results-2023-media-release.pdf,HSBC,Link
Company Financial Statements ,231030-3q-2023-earnings-release.pdf,HSBC,Link
Compay Market News,HSBC-1.txt,HSBC,Feed
Compay Market News,HSBC-NF -1.txt,HSBC,Feed
Compay Market News,HSBC-NF -2.txt,HSBC,Feed
Company Earning Call Transcripts ,231030-3q-2023-presentation-to-investors-and-analysts-transcript.pdf,HSBC,Link
Company Earning Call Transcripts ,230908-interim-results-2023-fixed-income-investors-conference-call-transcript.pdf,HSBC,Link
